主治,功能团
"['带下', '烦愦', '自汗', '惊悸', '短气', '精滑', '心气不足']",[]
"['产后', '头痛', '不止', '烦愦', '心神惊悸', '短气', '内热', '闷乱', '心虚', '脏躁']","[['产后', '头痛']]"
"['产后', '干呕', '月经不通', '寒热', '痢不止', '肌体羸瘦', '肌体羸瘦', '结生瘕聚', '烦愦', '多倦', '面色黄青', '恶心', '腹中', '腹内痛', '霍乱', '心腹多痛', '胸膈', '多睡', '多睡', '吞酸', '气弱', '败血', '小腿转筋', '久痢', '噫气', '唇青', '阴冷', '痞塞', '虚鸣', '冷痢', '五膈', '哕逆']","[['多倦', '多睡'], ['月经不通', '寒热'], ['胸膈', '吞酸'], ['肌体羸瘦', '面色黄青'], ['吞酸', '噫气'], ['寒热', '肌体羸瘦'], ['干呕', '痢不止'], ['月经不通', '结生瘕聚'], ['干呕', '寒热'], ['产后', '寒热'], ['产后', '痢不止'], ['痢不止', '霍乱'], ['干呕', '恶心'], ['产后', '干呕'], ['月经不通', '肌体羸瘦'], ['霍乱', '小腿转筋'], ['产后', '干呕', '痢不止'], ['月经不通', '寒热', '肌体羸瘦'], ['产后', '干呕', '寒热']]"
"['饮食不下', '结生瘕聚', '霍乱', '外感', '赤白痢', '胀满', '痞积', '血瘕', '咳逆', '小腿转筋', '停滞', '膝疼', '气血不和']","[['霍乱', '小腿转筋']]"
"['腹刺痛', '寒疝', '血刺疼痛']",[]
"['产后', '中风', '眩晕', '头目眩晕', '身疼', '言语謇涩', '喘促', '自汗', '风湿脚气', '上攻', '半身不遂', '瘀血', '脚手痹顽', '身如角弓反张', '牙关紧闭', '左瘫右痪', '心神恍惚', '凝滞', '涎潮']","[['身如角弓反张', '牙关紧闭'], ['产后', '中风'], ['中风', '身如角弓反张'], ['半身不遂', '左瘫右痪'], ['眩晕', '头目眩晕'], ['头目眩晕', '身疼'], ['中风', '言语謇涩'], ['言语謇涩', '半身不遂'], ['半身不遂', '脚手痹顽'], ['脚手痹顽', '左瘫右痪'], ['半身不遂', '脚手痹顽', '左瘫右痪']]"
"['疼痛', '血风劳', '风湿脚气', '寒湿', '脚弱无力']","[['风湿脚气', '寒湿'], ['疼痛', '血风劳']]"
"['产后', '饮食不下', '眩晕', '不止', '气短促', '眼昏', '脚弱', '虚渴']","[['产后', '饮食不下']]"
"['产后', '阴肿', '妨闷']",[]
"['产后', '月经过多', '不育', '崩中漏下', '结生瘕聚', '脐腹冷痛', '堕胎', '小便浊败', '经行无定期', '淋漓不净', '久冷', '脉虚冷', '绝嗣']",[]
"['产后', '淋']",[]
"['产后', '腹中疼痛', '虚劳', '胁痛', '里急', '寒疝']",[]
"['气短促', '不乳出', '血衰', '脉涩不行']","[['不乳出', '血衰'], ['不乳出', '脉涩不行']]"
"['月经不调', '脐腹冷痛', '胀满', '淋沥']",[]
"['结生瘕聚', '血结', '心腹胀满', '腹胁', '血蛊']",[]
"['头痛', '咳嗽', '痰饮', '肢体怠情', '腹中', '自汗', '虚羸', '产后气短', '寒热如疟']","[['产后气短', '寒热如疟'], ['虚羸', '产后气短']]"
"['血蛊', '气蛊', '水蛊']","[['气蛊', '水蛊']]"
"['大小便不通', '寒邪', '痈', '经水忽来忽断', '余疾']",[]
"['血风劳', '身疼', '妇人血气', '烦躁']","[['血风劳', '身疼']]"
['结生瘕聚'],[]
"['食积', '血瘕']",[]
"['产后', '咳逆']",[]
"['生疮', '肺气不足', '女子血衰', '容色枯瘁']","[['女子血衰', '容色枯瘁']]"
"['妊娠', '肿满', '挛急']",[]
"['妊娠', '动胎', '月经过多', '腹刺痛', '阴虚', '短气', '所下', '胎奔上刺心']","[['妊娠', '月经过多'], ['妊娠', '动胎'], ['动胎', '月经过多'], ['妊娠', '动胎', '月经过多']]"
"['妊娠', '肿痛']",[]
"['产后', '大便结燥', '虚羸']",[]
"['妊娠', '肚腹痛', '寒热', '腰痛', '心神惊悸', '膨胀腹满', '胎热', '伤胎', '所下', '小儿胎寒虚', '闪肭']","[['妊娠', '肚腹痛'], ['伤胎', '闪肭']]"
"['妊娠', '肚腹痛', '寒热', '腰痛', '心神惊悸', '膨胀腹满', '胎热', '伤胎', '所下', '小儿胎寒虚', '闪肭']","[['妊娠', '肚腹痛'], ['伤胎', '闪肭']]"
"['妊娠', '干呕', '头痛', '烦愦', '痰饮', '四肢拘挛', '择食']","[['妊娠', '干呕'], ['干呕', '头痛'], ['妊娠', '头痛'], ['妊娠', '干呕', '头痛']]"
"['产后', '眩晕', '血崩', '产后崩中下血']",[]
"['肚腹痛', '月经过多']","[['肚腹痛', '月经过多']]"
"['饮食不下', '干呕', '痢不止', '渐渐羸瘦', '恶心', '阴寒', '气短促', '外感', '胸膈', '腹胁', '虚浮']","[['饮食不下', '渐渐羸瘦'], ['干呕', '痢不止'], ['饮食不下', '干呕'], ['干呕', '恶心']]"
"['寒热', '喘促', '产后百损', '大小便不通', '恶露未尽', '气血', '烦渴', '产后四肢浮肿', '肿满', '凝滞', '憎寒发热', '荣卫不调', '败浊']","[['喘促', '大小便不通']]"
"['饮食不下', '干呕', '结生瘕聚', '腹中', '胸膈', '癫痫', '心气不足', '心疼', '久痢', '宿食不消', '反胃', '久疟']","[['饮食不下', '干呕'], ['久痢', '久疟']]"
"['口干', '肌体羸瘦', '元气虚惫', '自汗', '小便浊败', '口苦', '精滑', '血气不足', '自利']","[['口干', '口苦'], ['肌体羸瘦', '元气虚惫']]"
"['脐腹', '两胁胀痛', '下瘕血闭']",[]
"['血风劳', '热毒', '风湿脚气', '生疮', '偏正头风', '四肢痠痛', '瘙痒', '虚肿', '痰涎不利', '瘾疹']","[['瘙痒', '瘾疹']]"
"['饮食不下', '干呕', '妊娠呕恶冲逆', '血溢', '中脘宿冷', '冷血侵脾', '嗳闻血腥']","[['中脘宿冷', '冷血侵脾'], ['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆'], ['中脘宿冷', '嗳闻血腥'], ['血溢', '嗳闻血腥'], ['血溢', '冷血侵脾'], ['血溢', '中脘宿冷'], ['冷血侵脾', '嗳闻血腥'], ['血溢', '冷血侵脾', '嗳闻血腥'], ['中脘宿冷', '冷血侵脾', '嗳闻血腥'], ['血溢', '中脘宿冷', '嗳闻血腥'], ['血溢', '中脘宿冷', '冷血侵脾'], ['血溢', '中脘宿冷', '冷血侵脾', '嗳闻血腥']]"
"['饮食不下', '遍身壮热', '头目眩晕', '妊娠呕恶冲逆', '气滞不行', '四肢逆冷', '吐利']","[['饮食不下', '头目眩晕']]"
"['产后', '痢不止', '血脏宿冷']","[['产后', '痢不止']]"
"['饮食不下', '饮食不下', '干呕', '痰饮', '妊娠呕恶冲逆', '胀满', '虚寒']","[['饮食不下', '干呕'], ['干呕', '妊娠呕恶冲逆']]"
"['产后', '饮食不下', '干呕', '干呕', '肚腹痛', '痢不止', '伤寒', '眩晕', '眩晕', '喘促', '肢体怠情', '面色黄青', '盗汗', '胸中胀满', '霍乱', '五劳', '昏迷不省', '潮热', '寒湿', '吐泻', '吞酸', '不睡', '不和', '上气', '痰喘', '骨疼', '腹胁', '胃虚', '鼻塞多嚏', '气膈', '卧起不安', '壅滞', '中热', '涕唾稠粘', '憎寒壮热', '反胃', '精神恍惚', '久疟', '血气不和', '憎寒发热', '劳复', '滑泄', '腹内虚鸣']","[['干呕', '肚腹痛'], ['五劳', '寒湿'], ['产后', '饮食不下'], ['干呕', '痢不止'], ['干呕', '眩晕'], ['饮食不下', '干呕'], ['产后', '肚腹痛'], ['产后', '痢不止'], ['霍乱', '吐泻'], ['肚腹痛', '痢不止'], ['痢不止', '霍乱'], ['产后', '干呕'], ['产后', '饮食不下', '干呕'], ['产后', '干呕', '痢不止'], ['干呕', '肚腹痛', '痢不止'], ['产后', '肚腹痛', '痢不止'], ['产后', '干呕', '肚腹痛'], ['产后', '干呕', '肚腹痛', '痢不止']]"
"['淋', '肿块']",[]
"['胸膈', '发狂', '有痰', '口不渴']",[]
"['月经不通', '言语謇涩', '小便利数', '经前腹痛', '烦渴', '跌打损伤', '大便色黑', '少腹急痛', '其人如狂', '下焦蓄血', '至夜发热']","[['下焦蓄血', '至夜发热']]"
"['产后', '妊娠', '干呕', '遍身壮热', '头痛', '寒邪', '感冒', '感冒', '有汗', '汗出', '舌苔花白', '恶风', '脉缓', '口不渴', '营卫虚弱']","[['产后', '头痛'], ['遍身壮热', '头痛'], ['产后', '遍身壮热'], ['妊娠', '干呕'], ['妊娠', '遍身壮热'], ['干呕', '头痛'], ['妊娠', '头痛'], ['产后', '干呕'], ['产后', '干呕', '头痛'], ['妊娠', '干呕', '头痛'], ['妊娠', '遍身壮热', '头痛'], ['产后', '遍身壮热', '头痛']]"
['腹中'],[]
"['产后', '不止', '产后气虚', '小便涩', '恶风', '风感太阳']",[]
"['干呕', '月经不调', '遍身壮热', '口干', '伤寒', '疟', '背项强直', '汗出', '久不愈', '恶风', '往来寒热', '胁满']","[['遍身壮热', '伤寒'], ['遍身壮热', '口干']]"
"['妊娠', '饮食不下', '干呕', '痢不止', '伤寒', '气滞', '膨胀腹满', '心腹胀满', '胃虚']","[['妊娠', '伤寒'], ['干呕', '痢不止'], ['妊娠', '干呕'], ['饮食不下', '干呕'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['月经不通', '遍身壮热', '月经过多', '伤寒', '大小便不通', '大便结燥', '小便利数', '脉弦数', '瘀血', '风感太阳', '脉微', '多忘', '结胸', '发狂', '瘀热', '脉沉结', '狂躁', '少腹硬满']","[['遍身壮热', '伤寒']]"
"['产后', '肚腹痛', '肚腹痛', '月经过多', '伤寒', '不止', '腹中疼痛', '心神多躁', '小便利数', '有汗', '脉浮', '小便数日不通', '热入血室', '痘疹', '四时伤寒', '肚痛', '血气不和', '挛急', '不畅', '微恶风寒']","[['肚腹痛', '月经过多'], ['产后', '肚腹痛']]"
"['干呕', '月经不通', '头痛', '疼痛', '寒湿', '经前腹痛', '丹疹', '手足厥寒', '闭塞', '下肢溃疡']","[['月经不通', '疼痛'], ['干呕', '头痛']]"
"['产后', '干呕', '痢不止', '伤寒', '心神多躁', '元气虚惫', '腹中', '惊风', '湿气下利', '米谷不化']","[['干呕', '痢不止'], ['产后', '痢不止'], ['产后', '干呕'], ['产后', '干呕', '痢不止']]"
"['伤寒', '元气虚惫', '妊娠呕恶冲逆', '肠鸣', '湿气下利', '噤口痢']",[]
"['月经不调', '大小便不通', '寒邪', '腹内痛', '气滞', '经前腹痛', '经前腹痛', '不和', '惊风', '腹疼', '四肢逆冷', '下肢溃疡', '蛔虫']","[['气滞', '经前腹痛']]"
"['干呕', '干呕', '干呕', '肚腹痛', '遍身壮热', '痢不止', '伤寒', '结生瘕聚', '喘促', '烦愦', '恶心', '不安', '脉弦数', '大便后下血', '不和', '惊风', '肠鸣', '虚寒', '湿气下利', '不痛', '米谷不化', '上焦', '下肢溃疡', '苔薄黄', '素虚']","[['烦愦', '不安'], ['干呕', '肚腹痛'], ['肚腹痛', '遍身壮热'], ['遍身壮热', '伤寒'], ['干呕', '痢不止'], ['肚腹痛', '痢不止'], ['干呕', '恶心'], ['干呕', '肚腹痛', '痢不止']]"
"['产后', '干呕', '肚腹痛', '寒热', '痢不止', '痢不止', '元气虚惫', '烦愦', '手足厥寒', '冷热', '蛔虫', '吐蛔']","[['干呕', '肚腹痛'], ['干呕', '痢不止'], ['干呕', '寒热'], ['产后', '肚腹痛'], ['产后', '寒热'], ['产后', '痢不止'], ['肚腹痛', '痢不止'], ['产后', '干呕'], ['产后', '干呕', '痢不止'], ['干呕', '肚腹痛', '痢不止'], ['产后', '肚腹痛', '痢不止'], ['产后', '干呕', '寒热'], ['产后', '干呕', '肚腹痛'], ['产后', '干呕', '肚腹痛', '痢不止']]"
"['饮食不下', '干呕', '遍身壮热', '寒热', '头痛', '咳嗽', '口干', '伤寒', '头目眩晕', '心神多躁', '疟', '热毒', '疮疥', '作痛', '烦热', '感冒', '脉弦数', '口苦', '乳痈', '言语不得', '疳', '烦渴', '肿痛', '小便短赤', '瘰疬', '出血', '舌苔花白', '胁痛', '寒热如疟', '热入血室', '黄疸', '上焦', '产后虚热', '寒多热少', '狂乱', '色赤']","[['寒热', '咳嗽'], ['寒热', '口干'], ['遍身壮热', '头痛'], ['寒热', '头痛'], ['饮食不下', '头目眩晕'], ['遍身壮热', '伤寒'], ['口干', '口苦'], ['头痛', '头目眩晕'], ['疮疥', '瘰疬'], ['饮食不下', '寒热'], ['饮食不下', '干呕'], ['口干', '心神多躁'], ['干呕', '寒热'], ['遍身壮热', '咳嗽'], ['咳嗽', '伤寒'], ['头痛', '伤寒'], ['遍身壮热', '口干'], ['乳痈', '肿痛'], ['热毒', '疮疥'], ['咳嗽', '口干'], ['干呕', '头痛'], ['寒热', '头目眩晕'], ['遍身壮热', '咳嗽', '口干'], ['饮食不下', '干呕', '寒热'], ['寒热', '头痛', '头目眩晕'], ['干呕', '寒热', '头痛'], ['饮食不下', '寒热', '头目眩晕'], ['遍身壮热', '头痛', '伤寒'], ['遍身壮热', '咳嗽', '伤寒'], ['寒热', '咳嗽', '口干']]"
"['妊娠', '干呕', '干呕', '遍身壮热', '寒热', '头痛', '咳嗽', '咳嗽', '伤寒', '头目眩晕', '身疼', '喘促', '喘促', '大小便不通', '烦愦', '痰饮', '寒邪', '寒邪', '肢体怠情', '恶心', '阴寒', '阴寒', '气短促', '四肢烦疼', '腹中', '胸膈', '感冒', '膨胀腹满', '风邪', '脉浮', '浮肿', '上气', '舌苔花白', '多痰', '多痰', '胸满', '鼻塞多嚏', '痰盛', '瘟疫', '咳逆', '脉细紧', '喘嗽', '无汗', '咳喘', '口不渴', '喉咽不利', '伤肺', '吐涎沫']","[['寒热', '咳嗽'], ['妊娠', '伤寒'], ['遍身壮热', '头痛'], ['上气', '咳逆'], ['寒热', '头痛'], ['遍身壮热', '伤寒'], ['喘促', '大小便不通'], ['头痛', '头目眩晕'], ['妊娠', '干呕'], ['咳嗽', '喘促'], ['头痛', '身疼'], ['干呕', '寒热'], ['遍身壮热', '咳嗽'], ['遍身壮热', '阴寒'], ['咳嗽', '伤寒'], ['头痛', '伤寒'], ['妊娠', '遍身壮热'], ['头目眩晕', '身疼'], ['痰饮', '恶心'], ['干呕', '头痛'], ['妊娠', '头痛'], ['干呕', '恶心'], ['寒热', '头目眩晕'], ['妊娠', '头痛', '伤寒'], ['妊娠', '遍身壮热', '伤寒'], ['妊娠', '干呕', '头痛'], ['寒热', '头痛', '头目眩晕'], ['妊娠', '遍身壮热', '头痛'], ['头痛', '头目眩晕', '身疼'], ['干呕', '寒热', '头痛'], ['遍身壮热', '头痛', '伤寒'], ['遍身壮热', '咳嗽', '伤寒'], ['妊娠', '遍身壮热', '头痛', '伤寒']]"
"['干呕', '干呕', '头痛', '中风', '带下', '头目眩晕', '涩', '结生瘕聚', '大小便不通', '心腹胀', '疟', '热毒', '热毒', '腰痛', '阴寒', '疳', '遍身洪肿', '汗出', '食积', '短气', '惊风', '丹疹', '水肿', '脉弦', '斑', '风感太阳', '湿气下利', '胁胀痛', '气盛', '脉沉弦', '暴痛']","[['心腹胀', '食积'], ['头痛', '头目眩晕'], ['丹疹', '斑'], ['涩', '热毒'], ['干呕', '头痛']]"
"['伤寒', '产后百损', '疟', '无力', '脉沉细']",[]
"['妊娠', '口干', '伤寒', '不止', '心腹胀', '腰痛']","[['妊娠', '伤寒'], ['妊娠', '口干']]"
"['妊娠', '伤寒', '不和']","[['妊娠', '伤寒']]"
"['死胎', '热病']",[]
"['死胎', '热病']",[]
"['妊娠', '伤寒', '喘促', '大小便不通', '心腹胀']","[['妊娠', '伤寒'], ['喘促', '大小便不通']]"
"['妊娠', '动胎', '伤寒', '热甚']","[['妊娠', '伤寒'], ['妊娠', '动胎']]"
"['产后', '伤寒', '血晕']","[['产后', '血晕']]"
"['产后', '恶露未尽', '死胎不出']","[['产后', '恶露未尽']]"
"['产后', '口干', '伤寒', '闷乱', '恶血冲心']",[]
"['产后', '伤寒', '烦愦', '燥渴']",[]
['妊娠时气'],[]
"['伤寒', '烦愦', '心腹胀', '恶露不下', '流产']",[]
"['头痛', '伤寒', '憎寒发热']","[['头痛', '伤寒']]"
"['月经过多', '月经过多', '吐血不止', '淋证', '鼻衄', '热痛']",[]
['急痛'],[]
"['月经不调', '肌体羸瘦', '经前腹痛']","[['月经不调', '肌体羸瘦']]"
"['月经不通', '遍身壮热', '骨蒸潮热', '腹内']",[]
"['口干', '大便结燥', '烦渴', '中热', '上焦', '心胸烦躁', '精神恍惚']",[]
['崩中漏下'],[]
"['月经不调', '不育']","[['月经不调', '不育']]"
"['饮食不下', '干呕', '寒热', '眩晕', '肢节无力', '精神不守', '胸膈', '面目青黑', '气血虚弱', '眼目昏花']","[['饮食不下', '肢节无力'], ['饮食不下', '寒热'], ['干呕', '眩晕'], ['饮食不下', '干呕'], ['干呕', '寒热'], ['眩晕', '眼目昏花'], ['饮食不下', '干呕', '寒热']]"
"['产后', '月经不调', '不育', '阴中冷', '诸虚百损']","[['月经不调', '不育'], ['月经不调', '阴中冷'], ['不育', '阴中冷'], ['月经不调', '不育', '阴中冷']]"
"['肌体羸瘦', '身疼', '肢节无力', '五劳', '胸膈', '寒湿', '胀满', '不调', '诸虚百损', '风痰']","[['五劳', '寒湿'], ['五劳', '诸虚百损']]"
"['咳嗽', '疼痛', '元气虚惫', '烦渴', '上气', '咯痰带血', '咳逆', '干嗽', '燥热', '燥热', '燥渴', '鼻干']","[['上气', '咳逆']]"
"['月经不通', '心腹胀', '热毒', '气滞', '疮疥', '疔疮']","[['热毒', '疮疥']]"
"['五劳', '心神恍惚', '五淋七疝']",[]
"['赤白带下', '阴中冷', '小便浊败', '寒湿', '痞积', '下元虚冷']","[['阴中冷', '小便浊败'], ['赤白带下', '小便浊败'], ['赤白带下', '阴中冷'], ['赤白带下', '阴中冷', '小便浊败']]"
"['不育', '精冷', '胎冷']",[]
"['赤白带下', '不育', '血崩', '五劳', '半身不遂', '虚冷', '下元不固', '腿痠', '沙淋']","[['赤白带下', '不育'], ['不育', '五劳'], ['赤白带下', '血崩']]"
"['痰喘', '哮喘']",[]
"['痢不止', '妇人血气', '吞酸', '食滞', '胸膈膨胀']",[]
"['饮食不下', '干呕', '痢不止', '渐渐羸瘦', '结生瘕聚', '肢节无力', '疟', '疮疥', '多睡', '口苦', '腰腿疼痛', '四肢痠痛', '上热下冷']","[['痢不止', '疟'], ['饮食不下', '渐渐羸瘦'], ['饮食不下', '肢节无力'], ['干呕', '痢不止'], ['饮食不下', '干呕'], ['多睡', '四肢痠痛'], ['渐渐羸瘦', '结生瘕聚']]"
"['寒湿', '左瘫右痪']",[]
['赤白带下'],[]
"['崩中漏下', '血下无度']",[]
"['饮食不下', '寒热', '心腹疼痛', '多倦', '冲任不固', '血气不足', '阴阳不和']","[['饮食不下', '寒热']]"
"['产后', '遍身壮热', '头痛', '身疼', '背项强直']","[['产后', '头痛'], ['遍身壮热', '头痛'], ['产后', '遍身壮热'], ['头痛', '身疼'], ['产后', '遍身壮热', '头痛']]"
"['月经过多', '头目眩晕', '崩中漏下', '肢体怠情', '腰腿痠疼', '血分', '手足烦倦']",[]
"['饮食不下', '眩晕', '腹中疼痛', '心神多躁', '元气虚惫', '肢体怠情', '气滞', '流产', '肌黄形瘦', '腰腿无力']",[]
"['遍身壮热', '咳嗽', '痰饮', '恍惚', '惊胎', '小儿惊痫', '癫痫', '壅盛', '中热', '发搐']","[['痰饮', '壅盛'], ['遍身壮热', '咳嗽']]"
"['月经不调', '赤白带下', '不育']","[['赤白带下', '不育'], ['月经不调', '不育'], ['月经不调', '赤白带下'], ['月经不调', '赤白带下', '不育']]"
"['肚腹痛', '不育', '腹内痛', '气痛', '血气痛']",[]
"['口烂', '肿胀', '舌肿', '重舌']","[['舌肿', '重舌']]"
"['口烂', '肿胀', '舌肿', '重舌', '惊热']","[['舌肿', '重舌']]"
['不育'],[]
['不育'],[]
"['月经不调', '赤白带下', '不育', '小便浊败', '痞积']","[['赤白带下', '不育'], ['月经不调', '不育'], ['赤白带下', '小便浊败'], ['月经不调', '赤白带下'], ['月经不调', '赤白带下', '不育']]"
"['产后', '不育', '血气不足', '阴阳不和']",[]
"['肚腹痛', '月经不调', '赤白带下', '气滞', '阴虚']","[['肚腹痛', '月经不调'], ['月经不调', '赤白带下']]"
"['饮食不下', '动胎', '咳嗽', '带下', '不育', '眩晕', '头目眩晕', '血风劳', '痰火', '久无嗣息']","[['头目眩晕', '血风劳'], ['带下', '不育'], ['饮食不下', '头目眩晕'], ['带下', '眩晕'], ['眩晕', '头目眩晕']]"
"['不育', '肾虚腰痛', '早泄']",[]
['难产'],[]
"['饮食不下', '痢不止', '心腹疼痛', '痰饮', '吐血不止', '五劳', '心腹胀满', '吞酸', '肌黄形瘦', '左瘫右痪', '翻胃', '咳逆', '吐痰', '劳嗽', '鼻流黄涕', '食黄', '宿食不化']","[['劳嗽', '食黄']]"
"['干呕', '大小便不通', '痰饮', '面色黄青', '疮疥', '上攻', '痞积', '翻胃', '壅滞', '食滞', '气块']","[['食滞', '气块']]"
"['产后', '咳嗽', '伤寒', '昏迷不省', '疮疥', '偏正头风', '淋', '牙关紧闭', '瘰疬', '疖', '破伤风', '血不止', '臁疮', '疔疮', '无名肿毒']","[['疮疥', '瘰疬'], ['昏迷不省', '牙关紧闭'], ['咳嗽', '伤寒'], ['疮疥', '疖']]"
"['大便结燥', '膨胀腹满']",[]
['交骨不开'],[]
"['妊娠', '干呕', '肠鸣', '多怒', '减食', '气刺']","[['妊娠', '干呕']]"
"['产后', '眩晕', '精神不守', '不定', '雀目']",[]
"['疼痛', '涩', '无力', '大便后下血', '产后崩中下血', '衄血', '风感太阳', '羞明', '亡血过多', '视物不明']","[['羞明', '视物不明'], ['大便后下血', '衄血']]"
['生翳'],[]
"['元气虚惫', '热毒', '风湿脚气', '眼昏', '眼赤', '虚热', '消渴', '翳膜', '视物不明']",[]
"['疳', '不痛']",[]
['翳膜'],[]
"['月经不调', '疼痛', '产后崩中下血', '亡血过多']",[]
"['头痛', '头目眩晕', '胎热', '肿满']","[['头痛', '头目眩晕']]"
"['血风劳', '心神多躁', '面无色', '惊悸', '心怯']",[]
"['五劳', '骨蒸潮热']",[]
['难产'],[]
['难产'],[]
"['产后', '饮食不下', '寒热', '肌体羸瘦', '四肢烦疼', '产后气短']","[['寒热', '肌体羸瘦'], ['产后', '饮食不下'], ['饮食不下', '寒热'], ['产后', '寒热'], ['饮食不下', '肌体羸瘦'], ['饮食不下', '寒热', '肌体羸瘦'], ['产后', '饮食不下', '寒热']]"
"['血崩', '喘促', '腹中', '产后恶露不尽', '气急']",[]
"['产后', '恶露不下', '心胃气痛']",[]
"['烦愦', '不安', '产后心腹气痛']","[['烦愦', '不安']]"
"['产后', '言语謇涩', '腹刺痛', '胀满', '不定', '邪气', '如见鬼神']",[]
"['气痛', '产后心腹气痛']",[]
"['脐腹冷痛', '产后败血攻刺']",[]
"['产后心腹气痛', '气息欲绝']",[]
"['产后滞血', '腹内']",[]
"['恍惚', '产后心腹气痛', '其人如狂']",[]
"['产后', '饮食不下', '虚羸', '产后气短', '气短', '胁满']","[['产后', '饮食不下'], ['虚羸', '产后气短']]"
"['产后', '腹中疼痛', '烦热', '发渴']",[]
"['产后', '喘促', '烦愦', '血晕', '狂言', '倒错不识人', '妄言']","[['狂言', '妄言'], ['产后', '血晕']]"
"['产后', '心腹疼痛', '恶露不下']",[]
"['言语謇涩', '产后心腹气痛', '血闷冲心']",[]
"['疼痛', '产后滞血']",[]
"['产后', '心腹疼痛', '恶露不下', '烦躁']",[]
"['产后', '头痛', '心神多躁', '壮热', '产后气短', '酸疼']","[['产后', '头痛'], ['头痛', '壮热']]"
"['产后', '寒热', '头痛', '头目眩晕', '渐渐羸瘦', '产后气短', '四肢痠痛']","[['产后', '头痛'], ['寒热', '头痛'], ['头痛', '头目眩晕'], ['产后', '寒热'], ['寒热', '头目眩晕'], ['寒热', '头痛', '头目眩晕'], ['产后', '寒热', '头痛']]"
"['渐渐羸瘦', '恶露未尽', '面色黄青', '腹内痛', '无力', '产后气虚', '淋沥']","[['渐渐羸瘦', '面色黄青']]"
"['不止', '腹中疼痛', '产后滞血']",[]
"['两胁膈胀', '恶血冲心', '产后积聚癥块']",[]
"['肚腹痛', '气短促', '面无色', '产后恶露不尽']",[]
"['产后', '疼痛', '心腹胀', '恶露不下']",[]
"['产后', '恶露不下', '腹胁刺痛']",[]
"['疼痛', '腹中', '产后滞血']",[]
"['寒热', '产后百损', '疟', '产后气短']",[]
"['产后百损', '狂言', '血邪']",[]
"['产后', '凑心']",[]
"['产后', '涩', '恶露不下', '毒气冲心', '闷绝', '倒错不识人']",[]
"['产后', '腹中疼痛', '心神多躁', '恶露不下']",[]
"['烦愦', '产后心腹气痛', '多渴']",[]
"['产后', '疼痛', '烦愦', '恶露不下', '腹中', '腹内']",[]
"['烦愦', '气息欲绝', '产后血运']",[]
"['口干', '心神多躁', '产后滞血', '腹内']","[['口干', '心神多躁']]"
"['产后', '恶露不下', '气滞', '脐腹', '两胁胀痛']",[]
"['产后', '心腹疼痛', '恶露未尽']","[['产后', '恶露未尽']]"
"['产后', '心腹疼痛', '恶露未尽']","[['产后', '恶露未尽']]"
"['产后血运', '闷绝欲死']",[]
"['产后', '不止', '腹中疼痛', '恶露不下']",[]
"['腹中', '产后滞血']",[]
"['产后', '凑心']",[]
"['产后', '元气虚惫', '言语謇涩', '瘀血', '邪气', '妄言', '内火暗动', '停滞']",[]
"['心腹疼痛', '产后恶露不尽']",[]
"['产后', '恶露未尽', '闷绝', '血气冲心']","[['产后', '恶露未尽']]"
['产后心腹气痛'],[]
"['产后', '饮食不下', '腹中疼痛', '虚烦']","[['产后', '饮食不下']]"
"['饮食不下', '疼痛', '产后恶露不尽', '腹内', '背膊虚烦']",[]
"['饮食不下', '头目眩晕', '肢节无力', '产后恶露不尽', '短气', '心闷']","[['饮食不下', '头目眩晕'], ['饮食不下', '肢节无力']]"
"['产后', '心腹疼痛', '恶露不下']",[]
"['疼痛', '腹内', '产后败血攻刺']",[]
"['疼痛', '产后心腹气痛', '闷绝']",[]
"['产后', '血晕', '膨胀腹满']","[['产后', '血晕']]"
"['产后', '腹中疼痛', '恶露未尽']","[['产后', '恶露未尽']]"
"['心闷', '产后血运']",[]
"['产后', '肚腹痛', '恶露未尽']","[['产后', '恶露未尽'], ['产后', '肚腹痛']]"
['产后心腹气痛'],[]
"['产后', '恶露不下', '腹内坚痛']",[]
"['饮食不下', '心腹疼痛', '产后恶露不尽']",[]
"['产后', '腹中疼痛', '恶露未尽']","[['产后', '恶露未尽']]"
"['闷绝', '产后血运', '倒错不识人']",[]
"['产后', '血晕', '恶露不下', '心闷']","[['产后', '血晕']]"
"['产后', '血晕', '心闷', '倒错不识人', '烦乱']","[['心闷', '倒错不识人'], ['产后', '血晕']]"
"['产后', '疼痛', '腹脏有恶血结滞']",[]
"['产后百损', '心气不足', '如见鬼神', '血邪', '荒语']",[]
"['产后', '饮食不下', '心神多躁', '恶露未尽', '腹内']","[['产后', '饮食不下'], ['产后', '恶露未尽']]"
"['产后', '恶露不下', '积冷', '心腹攻刺作疼']",[]
"['寒热', '腹中疼痛', '眼昏', '狂言', '产后心腹气痛']",[]
"['产后', '饮食不下', '肢节无力', '恶露不下']","[['饮食不下', '肢节无力'], ['产后', '饮食不下']]"
"['产后', '烦愦', '恶露不下', '腹胁刺痛', '心腹攻刺作疼']",[]
"['产后', '恶露不下']",[]
"['产后', '心腹疼痛', '恶露不下']",[]
"['口干', '产后心腹气痛', '闷乱']",[]
"['恍惚', '产后血运', '如见鬼神', '心烦闷']",[]
"['产后恶露不尽', '气息乏力']",[]
