症状,亲友团
产后胞衣不下,"['干呕', '口干', '血晕', '凑心', '肚腹痛', '遍身壮热', '寒热', '痢不止', '伤寒', '不育', '眩晕', '难产', '血崩', '涩', '腹中疼痛']"
产后脓血痢,"['饮食不下', '不止', '腹中疼痛', '渐渐羸瘦', '肚腹痛', '疼痛', '腹内痛', '脐腹冷痛', '久不愈', '四肢逆冷', '米谷不化', '肠胃疼痛']"
产后心神惊悸不定,"['脉弦虚', '涩', '言语謇涩', '不安', '有汗', '脉浮', '汗出', '心中愦闷', '虚晕']"
乳悬,"['痈', '疼痛', '产后', '遍身壮热', '血崩', '血亏', '不乳出', '乳汁不足', '结滞', '两乳细小', '两乳忽长', '细小如肠', '欲结成痈', '肿痛此热']"
体颤,"['产后', '妊娠', '寒热', '恶心', '饮食不下', '干呕', '肚腹痛', '月经不调', '遍身壮热', '头痛', '赤白带下', '动胎', '中风', '疼痛', '头目眩晕']"
大小便涩,"['产后', '伤寒', '膨胀腹满', '中风', '喘促', '热毒', '烦热', '言语不得', '惊悸', '烦渴', '湿热', '斑', '热甚', '卒中', '干呕']"
小便短涩,"['饮食不下', '产后', '咳嗽', '口干', '难产', '喘促', '胸中胀满', '胎衣不下', '心腹多痛', '眼目昏花', '四肢痠痛', '死胎不出', '心闷', '寒热如疟', '子淋']"
便浊,"['带下', '涩', '元气虚惫', '虚劳', '劳伤筋脉', '产后', '饮食不下', '干呕', '肚腹痛', '月经不调', '赤白带下', '咳嗽', '口干', '不育', '眩晕']"
背膊虚烦,"['月经不通', '饮食不下', '咳嗽', '不育', '肌体羸瘦', '面目青黑', '产后', '月经不调', '头痛', '赤白带下', '口干', '疼痛', '头目眩晕', '元气虚惫', '崩中漏下']"
心膈痰壅,"['饮食不下', '妊娠', '产后', '干呕', '咳嗽', '中风', '口干', '伤寒', '血风劳', '身疼', '喘促', '口急', '烦躁', '言语不得', '四肢拘挛']"
伤肺,"['寒邪', '咳嗽', '喘促', '大小便不通', '胸膈', '胀满', '怒郁伤肝', '产后', '妊娠', '干呕', '遍身壮热', '寒热', '头痛', '伤寒', '头目眩晕']"
膈满,"['寒热', '口干', '不育', '眩晕', '肢节无力', '疟', '气盛', '产后', '妊娠', '饮食不下', '干呕', '肚腹痛', '月经不调', '咳嗽', '肌体羸瘦']"
脏腑不调,"['饮食不下', '产后', '干呕', '胸膈', '气膈', '肌体羸瘦', '结生瘕聚', '心腹胀', '恶心', '妇人血气', '壮热', '吞酸', '翻胃', '里急后重', '有块']"
脏躁,"['心神惊悸', '妊娠', '痢不止', '盗汗', '自汗', '怔忡不宁', '心虚', '产后', '饮食不下', '月经不调', '遍身壮热', '寒热', '头痛', '眩晕', '头目眩晕']"
胎上迫心,"['妊娠', '烦愦', '月经过多', '饮食不下', '月经不调', '头痛', '动胎', '伤寒', '心神多躁', '心腹疼痛', '胸膈', '手足厥寒', '虚热', '小便淋露不止', '舌肿']"
心肾不交,"['饮食不下', '赤白带下', '不育', '盗汗', '冲任不固', '不睡', '多忘', '遍身壮热', '寒热', '头痛', '口干', '带下', '头目眩晕', '腹中疼痛', '心神多躁']"
肝肾不足,"['带下', '眩晕', '耳内虚鸣', '肌体羸瘦', '头目眩晕', '小便利数', '流产', '风湿脚气', '淋沥不断', '耳聋', '骨疼', '产后', '妊娠', '月经不调', '遍身壮热']"
胃脘胀痛,"['产后', '妊娠', '饮食不下', '肚腹痛', '头痛', '寒邪', '胸中胀满', '腹内痛', '吐血不止', '冲任不固', '流产', '气逆', '经前腹痛', '腰腿疼痛', '气滞不行']"
胃弱,"['饮食不下', '精神不守', '带下', '痰喘', '产后', '干呕', '肚腹痛', '月经不调', '咳嗽', '血亏', '多倦', '肢体怠情', '面色黄青', '恶心', '口急']"
脘痞,"['干呕', '喘促', '恶心', '饮食不下', '肚腹痛', '月经不通', '月经不调', '遍身壮热', '寒热', '口干', '疼痛', '带下', '恶露未尽', '多倦', '痰饮']"
脾积气,"['饮食不下', '干呕', '食积', '食滞', '结生瘕聚', '肢节无力', '心腹胀', '胸中胀满', '面无色', '脾劳', '产后', '月经不调', '寒热', '肌体羸瘦', '疟']"
脾寒,"['疟', '寒热', '饮食不下', '赤白带下', '小便利数', '面无色', '血气冲心痛', '神昏', '癫痫', '食滞', '产后', '妊娠', '干呕', '肚腹痛', '月经不调']"
腹中疠痛,"['月经不调', '肢节无力', '阴中冷', '肌黄形瘦', '下元不固', '产后', '妊娠', '饮食不下', '遍身壮热', '寒热', '赤白带下', '动胎', '痢不止', '带下', '血崩']"
脐腹急痛,"['饮食不下', '心忪', '带下', '眩晕', '久虚', '月经不调', '痢不止', '肌体羸瘦', '身疼', '崩中漏下', '肢体怠情', '小便利数', '气血虚', '胞络伤损', '手足寒热']"
腹内虚鸣,"['产后', '饮食不下', '肚腹痛', '月经不调', '面色黄青', '五劳', '不和', '卧起不安', '干呕', '遍身壮热', '寒热', '头痛', '赤白带下', '痢不止', '疼痛']"
小腹重坠,"['肚腹痛', '月经不调', '头痛', '口干', '血亏', '盗汗', '自汗', '潮热', '面色发红', '产后', '妊娠', '饮食不下', '遍身壮热', '疼痛', '伤寒']"
膀胱疝气,"['赤白带下', '阴中冷', '五劳', '风湿脚气', '半身不遂', '腰腿疼痛', '左瘫右痪', '诸虚百损', '饮食不下', '月经不调', '口干', '肌体羸瘦', '血崩', '腹中疼痛', '言语謇涩']"
腰腿痠软,"['眩晕', '肌体羸瘦', '头目眩晕', '结生瘕聚', '盗汗', '精神不守', '骨蒸潮热', '耳内虚鸣', '心热', '产后', '妊娠', '饮食不下', '干呕', '月经不通', '赤白带下']"
腿软,"['腰痠', '妊娠', '月经过多', '胎漏', '饮食不下', '带下', '眩晕', '肌体羸瘦', '心腹胀', '多倦', '心神惊悸', '冲任不固', '精神不守', '耳内虚鸣', '疝气']"
腿痠,"['腰痛', '赤白带下', '经前腹痛', '经行无定期', '腰腿痠疼', '产后', '饮食不下', '干呕', '月经不通', '月经不调', '动胎', '咳嗽', '不育', '肌体羸瘦', '血崩']"
脉沉弱,"['月经不调', '眩晕', '月经不通', '血亏', '多倦', '面色黄青', '痠痛', '大便时溏', '产后', '饮食不下', '动胎', '月经过多', '带下', '不育', '渐渐羸瘦']"
手足壮热,"['大小便不通', '饮食不下', '心腹胀', '阴寒', '恶风', '咳逆', '烦满', '额黑', '妊娠', '遍身壮热', '头痛', '赤白带下', '口干', '眩晕', '肌体羸瘦']"
元气不足,"['动胎', '妊娠', '遍身壮热', '饮食不下', '干呕', '肚腹痛', '口干', '痢不止', '难产', '心神多躁', '血亏', '大小便不通', '心腹胀', '气滞', '精神不守']"
腮项肿核,"['妊娠', '眩晕', '背项强直', '眼昏', '胎气有伤', '干呕', '热毒', '上攻', '太阳穴痛', '月经不调', '寒热', '月经过多', '带下', '头目眩晕', '结生瘕聚']"
鼻干,"['咳嗽', '口干', '咯痰带血', '燥热', '头痛', '月经过多', '疼痛', '眩晕', '血风劳', '血崩', '元气虚惫', '崩中漏下', '热毒', '气短促', '耳内虚鸣']"
齿摇,"['耳内虚鸣', '饮食不下', '涩', '小便利数', '面目青黑', '耳聋', '少力', '咳嗽', '带下', '眩晕', '不止', '喘促', '肢体怠情', '气短促', '霍乱']"
胞络伤损,"['月经不调', '饮食不下', '带下', '眩晕', '崩中漏下', '面无色', '心忪', '久虚', '手足寒热', '肌体羸瘦', '身疼', '寒邪', '气血虚', '脐腹急痛', '久不坐胎']"
久不坐胎,"['月经不调', '赤白带下', '寒邪', '阴中冷', '下元虚冷', '胞络伤损', '产后', '饮食不下', '干呕', '月经不通', '遍身壮热', '寒热', '口干', '月经过多', '不育']"
暴痛,"['腹中', '疟', '头痛', '赤白带下', '带下', '阴寒', '腹内痛', '大便结燥', '疮疥', '潮热', '疖', '胁痛', '咳喘', '产后', '妊娠']"
大寒,"['不乐', '白带腥臭', '多悲', '产后', '饮食不下', '干呕', '口干', '月经过多', '带下', '眩晕', '不止', '血崩', '涩', '腹中疼痛', '多倦']"
鬼疰,"['赤白带下', '飞尸', '月经不通', '疮疥', '血气冲心痛', '惊悸', '癫痫', '消渴', '阴黄', '干呕', '咳嗽', '元气虚惫', '渐渐羸瘦', '多倦', '五劳']"
寒劳,"['赤白带下', '咳嗽', '喘促', '吐血不止', '小便浊败', '不育', '言语謇涩', '阴中冷', '虚冷', '遍身壮热', '口干', '肌体羸瘦', '寒邪', '阴寒', '气血']"
急躁,"['饮食不下', '气逆', '月经后期', '血下少', '多怒', '干呕', '肚腹痛', '寒热', '咳嗽', '口干', '痢不止', '烦愦', '痰饮', '心神惊悸', '胸膈']"
睛疼,"['眼赤', '头痛', '眩晕', '头目眩晕', '血风劳', '涩', '偏正头风', '产后', '妊娠', '月经不调', '遍身壮热', '寒热', '口干', '疼痛', '伤寒']"
拘急疼痛,"['饮食不下', '眩晕', '头目眩晕', '阴寒', '产后', '干呕', '遍身壮热', '痢不止', '肢体怠情', '气短促', '自汗', '潮热', '不调', '内热', '腹胁刺痛']"
闪挫,"['腰痛', '饮食不下', '干呕', '痢不止', '寒邪', '气滞', '产后', '妊娠', '肚腹痛', '寒热', '动胎', '咳嗽', '疼痛', '带下', '头目眩晕']"
伤酒,"['血气冲心痛', '口烂', '饮食不下', '干呕', '肚腹痛', '月经不调', '咳嗽', '中风', '难产', '霍乱', '疳', '小便数日不通', '毒气冲心', '痔漏', '风痰']"
上热,"['下元虚冷', '遍身壮热', '口干', '干呕', '赤白带下', '疼痛', '自汗', '耳内虚鸣', '吞酸', '流注', '畏寒', '气痛', '齿痛', '腥臭', '下五色']"
下瘀,"['口干', '不止', '心腹疼痛', '阴寒', '烦热', '呻吟', '产后', '饮食不下', '肚腹痛', '痢不止', '眩晕', '血崩', '心神多躁', '崩中漏下', '多倦']"
涎盛,"['半身不遂', '头痛', '中风', '头目眩晕', '言语謇涩', '喘促', '口急', '耳内虚鸣', '咳嗽', '口干', '眩晕', '血风劳', '涩', '身疼', '热毒']"
阴盛,"['气短促', '霍乱', '手足厥寒', '产后', '干呕', '遍身壮热', '咳嗽', '伤寒', '眩晕', '元气虚惫', '腹中', '自汗', '精神不守', '气短', '下元虚冷']"
早泄,"['小便利数', '带下', '眩晕', '淋沥不断', '腰膝酸痛或冷痛', '不育', '渐渐羸瘦', '耳内虚鸣', '眼目昏花', '耳聋', '视物不明', '肚腹痛', '月经不通', '月经不调', '头痛']"
战慄,"['阴寒', '口干', '痢不止', '呻吟', '产后', '饮食不下', '肚腹痛', '遍身壮热', '头痛', '伤寒', '眩晕', '头目眩晕', '不止', '心神多躁', '心腹疼痛']"
直视,"['背项强直', '中风', '口急', '产后', '眩晕', '烦热', '妊娠', '自汗', '牙关紧闭', '恶风', '搐搦', '失音', '干呕', '头痛', '头目眩晕']"
指甲青,"['寒热', '口干', '烦躁', '四肢肿', '产后', '肚腹痛', '动胎', '中风', '血崩', '胎衣不下', '死胎', '心腹胀满', '生疮', '烦渴', '身如角弓反张']"
转侧不得,"['产后', '妊娠', '膨胀腹满', '动胎', '中风', '伤寒', '眩晕', '腰痛', '壮热', '烦热', '风邪', '汗出', '身如角弓反张', '下痢', '短气']"
卒倒,"['中风', '口急', '妊娠', '眩晕', '痰饮', '四肢急掣', '言语不得', '子痫', '干呕', '月经不通', '血亏', '霍乱', '昏迷不省', '身如角弓反张', '小儿惊痫']"
阻滞,"['产后', '淋沥', '溺窍不通', '月经不调', '赤白带下', '月经过多', '疼痛', '血崩', '腹中疼痛', '大便结燥', '流产', '气逆', '血结', '经前腹痛', '不调']"
不畅,"['产后', '舌质淡', '舌苔花白', '眩晕', '涩', '心神多躁', '面色黄青', '气滞', '经前腹痛', '两胁胀痛', '精神抑郁', '肚腹痛', '月经不通', '月经不调', '遍身壮热']"
内障,"['月经不通', '遍身壮热', '咳嗽', '伤寒', '元气虚惫', '吐血不止', '虚劳', '感冒', '眼昏', '肌黄形瘦', '小儿惊痫', '胎风', '痈疽发背', '肌骨蒸热', '瘟疫']"
冷痢,"['饮食不下', '肌体羸瘦', '结生瘕聚', '月经不通', '寒热', '痢不止', '烦愦', '多倦', '腹内痛', '多睡', '虚寒', '唇青', '产后', '干呕', '口干']"
劳热,"['心神多躁', '吐血不止', '妊娠', '饮食不下', '盗汗', '产后', '肚腹痛', '动胎', '咳嗽', '月经过多', '带下', '眩晕', '头目眩晕', '不止', '血崩']"
吐涎沫,"['干呕', '咳嗽', '妊娠', '头目眩晕', '痰盛', '饮食不下', '伤寒', '大小便不通', '阴寒', '气短促', '四肢烦疼', '风邪', '短气', '胸满', '鼻塞多嚏']"
坚硬疼痛,"['产后', '恶露不下', '胀满', '寒热', '风湿脚气', '产后恶露不尽', '脚手痹顽', '腹内', '脐腹', '流注', '成块', '肿胀', '风痹', '乳岩', '积聚成块']"
多渴,"['口干', '妊娠', '饮食不下', '咳嗽', '潮热', '口苦', '心热', '面色发红', '心神烦热', '咽膈不利', '减食', '月经不通', '肌体羸瘦', '头目眩晕', '身疼']"
宿冷,"['产后', '妊娠', '月经不调', '寒热', '动胎', '痢不止', '血风劳', '崩中漏下', '结生瘕聚', '寒邪', '腹胁刺痛', '中风', '月经过多', '疼痛', '头目眩晕']"
汗不出,"['伤寒', '产后', '干呕', '寒热', '痢不止', '头痛', '中风', '不育', '血风劳', '死胎', '破伤风', '月经不通', '动胎', '不止', '心神多躁']"
渴燥,"['产后', '言语謇涩', '烦愦', '妇人血气', '血邪', '遍身壮热', '头痛', '中风', '心神多躁', '身疼', '产后百损', '多倦', '烦热', '头面肿满', '出血']"
疟痢,"['赤白带下', '咳嗽', '五劳', '肠风', '水肿', '传尸', '干呕', '月经不调', '恶心', '盗汗', '疳', '血瘕', '痔漏', '黄疸', '山岚瘴气']"
痿黄,"['结生瘕聚', '心腹胀', '无力', '疳', '饮食不下', '干呕', '赤白带下', '中风', '痢不止', '肌体羸瘦', '血风劳', '疟', '不安', '疮疥', '作痛']"
脓水淋漓,"['生疮', '阴蚀疮', '不止', '肢体怠情', '疮疥', '疳', '肿痛', '虚火', '脉滑', '痘疮', '痒痛', '遍身瘙痒']"
自利,"['伤寒', '元气虚惫', '口干', '自汗', '小便利数', '妊娠', '饮食不下', '肚腹痛', '月经不调', '赤白带下', '带下', '不育', '眩晕', '肌体羸瘦', '头目眩晕']"
色黄,"['饮食不下', '妊娠', '咳嗽', '疼痛', '不止', '涩', '血亏', '产后百损', '多倦', '盗汗', '恶露不下', '胸中胀满', '吐血不止', '大便结燥', '精神不守']"
虚渴,"['产后', '气短促', '饮食不下', '口干', '眩晕', '不止', '心神多躁', '多倦', '面色黄青', '惊悸', '眼昏', '气血虚弱', '肌骨蒸热', '手足疼痛', '脚弱']"
血气攻注,"['疼痛', '眩晕', '渐渐羸瘦', '小便利数', '头面肿满', '遍身洪肿', '腰脚疼', '产后', '饮食不下', '干呕', '月经不调', '头痛', '赤白带下', '中风', '不育']"
血气虚,"['饮食不下', '月经不调', '带下', '血崩', '面色黄青', '脐腹', '肌黄形瘦', '带下不止', '经水不匀', '冲任不足', '干呕', '不育', '眩晕', '肌体羸瘦', '头目眩晕']"
血虚有热,"['月经不调', '带下', '头目眩晕', '渐渐羸瘦', '骨蒸潮热', '成胎', '饮食不下', '干呕', '肚腹痛', '遍身壮热', '寒热', '咳嗽', '口干', '月经过多', '眩晕']"
闷绝欲死,"['腹刺痛', '妊娠中恶', '饮食不下', '干呕', '月经过多', '言语謇涩', '喘促', '血晕', '面色黄青', '死胎', '流产', '漏血不止', '畏寒', '伤胎', '产后血运']"
颜色萎黄,"['饮食不下', '肢节无力', '产后', '月经不调', '元气虚惫', '虚羸', '月经不通', '痢不止', '肌体羸瘦', '腹中疼痛', '腹中', '虚劳', '骨蒸潮热', '肠风', '积冷']"
产后颠狂,"['言语謇涩', '狂言', '不睡', '出血', '凑心', '发痫', '心神不宁', '肝气郁结', '心神不安']"
产后心烦,"['干呕', '肚腹痛', '难产', '腹中疼痛', '烦愦', '恶露不下', '不安', '脾胃虚寒', '血气凝涩']"
产后血气壅滞,"['心腹疼痛', '饮食不下', '干呕', '月经不通', '头痛', '心神多躁', '腰痛', '攻刺', '脉沉涩', '急胀', '攻刺腰间疼痛']"
妊娠吐酸,"['饮食不下', '不下食', '吐痰']"
身体俱黄,"['遍身壮热', '阴寒', '阴中冷', '举体沉重', '急痛', '额黑', '干呕', '月经不调', '寒热', '咳嗽', '大小便不通', '心腹胀', '痰饮', '恶心', '胸中胀满']"
骨节痠疼,"['中风', '头目眩晕', '血风劳', '四肢急掣', '月经不调', '遍身壮热', '寒热', '口干', '涩', '腰痛', '腹内痛', '产后滞血', '脐腹冷痛', '耳内虚鸣', '脚手痹顽']"
皮肤瘾疹,"['月经不通', '血风劳', '瘙痒', '饮食不下', '头痛', '眩晕', '头目眩晕', '腹中疼痛', '热毒', '四肢烦疼', '胸膈', '耳内虚鸣', '感冒', '言语不得', '头面肿满']"
皮肤顽麻,"['妊娠', '中风', '头目眩晕', '言语謇涩', '四肢急掣', '背项强直', '耳内虚鸣', '上攻', '手足不遂', '瘙痒', '瘾疹', '头痛', '不育', '血风劳', '身疼']"
小便频涩痛,"['妊娠', '产后', '饮食不下', '干呕', '寒热', '咳嗽', '口干', '痢不止', '带下', '头目眩晕', '腹中疼痛', '心神多躁', '大小便不通', '寒邪', '恶心']"
背痠疼,"['头痛', '瘰疬', '饮食不下', '干呕', '月经不调', '寒热', '赤白带下', '咳嗽', '痢不止', '不育', '肌体羸瘦', '不止', '腹中疼痛', '大小便不通', '疟']"
心胃气痛,"['产后', '月经不调', '赤白带下', '咳嗽', '脚手痹顽', '跌打损伤', '饱胀', '肚腹痛', '月经不通', '头痛', '中风', '痢不止', '伤寒', '眩晕', '身疼']"
肋疼,"['产后', '结生瘕聚', '心腹胀', '肚腹痛', '月经不调', '遍身壮热', '寒热', '头痛', '动胎', '咳嗽', '痢不止', '带下', '眩晕', '难产', '不止']"
胁气,"['干呕', '头痛', '产后', '妊娠', '饮食不下', '寒热', '中风', '伤寒', '血风劳', '大小便不通', '口急', '恶露不下', '痈', '大便结燥', '死胎']"
五膈,"['结生瘕聚', '产后', '饮食不下', '干呕', '腹内痛', '肚腹痛', '月经不通', '寒热', '赤白带下', '痢不止', '肌体羸瘦', '难产', '血崩', '烦愦', '多倦']"
心神不安,"['言语謇涩', '不睡', '产后', '干呕', '眩晕', '血风劳', '血崩', '身疼', '产后百损', '背项强直', '多睡', '上攻', '恍惚', '肠风', '不定']"
少腹中部亦痛,"['产后', '饮食不下', '不止', '肢节无力', '腰痛', '冷气', '大便后下血', '舌质淡', '七情内伤', '月经后期', '舌苔花白', '气滞不行', '产后心腹气痛', '脉滑', '产后淋痛']"
心气疼痛,"['咳嗽', '腹刺痛', '风湿脚气', '攻刺', '气滞不行', '胸胁疼', '赤白带下', '月经过多', '疼痛', '结生瘕聚', '寒邪', '腰痛', '肠风', '腰腿痠疼', '水肿']"
小腹满闷,"['饮食不下', '妊娠', '面色黄青', '卧起不安', '产后', '月经不调', '头痛', '赤白带下', '动胎', '咳嗽', '疼痛', '伤寒', '血风劳', '身疼', '渐渐羸瘦']"
心慌,"['产后', '盗汗', '自汗', '遍身壮热', '寒热', '头痛', '口干', '痢不止', '恶心', '虚劳', '产后恶露不尽', '面色恍白']"
伤胃,"['胀满', '产后', '妊娠', '饮食不下', '干呕', '肚腹痛', '咳嗽', '月经过多', '喘促', '疟', '气血', '妊娠呕恶冲逆', '霍乱', '五劳', '气滞']"
忧思伤脾,"['怒郁伤肝', '产后', '肚腹痛', '寒热', '赤白带下', '咳嗽', '喘促', '血亏', '盗汗', '气血', '自汗', '疮疥', '无力', '胀满', '惊悸']"
肠虚滑泄,"['饮食不下', '产后', '干呕', '赤白带下', '咳嗽', '痢不止', '带下', '不育', '肌体羸瘦', '血风劳', '结生瘕聚', '心腹疼痛', '肢节无力', '肢体怠情', '面色黄青']"
脐下胀满,"['产后', '月经不调', '月经不通', '遍身壮热', '疼痛', '头目眩晕', '结生瘕聚', '肢体怠情', '血瘕', '不下食', '气痛', '妊娠小便不利', '四肢麻痹']"
血块腹痛,"['胎衣不下', '作痛', '产后', '饮食不下', '月经不通', '月经不调', '遍身壮热', '疼痛', '不育', '多倦', '气逆', '脉弦数', '产后心腹气痛', '干血', '肿毒']"
腹中积血,"['产后', '腹刺痛', '汗出', '妊娠', '干呕', '肚腹痛', '月经不通', '遍身壮热', '寒热', '头痛', '动胎', '中风', '疼痛', '伤寒', '眩晕']"
足痿无力,"['中风', '产后', '妊娠', '口干', '头目眩晕', '血风劳', '心神多躁', '身疼', '渐渐羸瘦', '产后百损', '腰痛', '五劳', '心神惊悸', '小儿惊痫', '偏枯']"
两脚疼痛,"['月经不调', '赤白带下', '肢节无力', '产后', '月经不通', '头痛', '咳嗽', '中风', '不育', '不止', '腹中疼痛', '喘促', '大小便不通', '面色黄青', '阴中冷']"
血入四肢,"['月经不通', '产后', '干呕', '月经不调', '赤白带下', '咳嗽', '中风', '不育', '恶心', '阴中冷', '胎衣不下', '眼目昏花', '脏腑虚损', '凑心', '死胎不出']"
手足寒热,"['带下', '饮食不下', '月经不调', '眩晕', '崩中漏下', '心忪', '久虚', '胞络伤损', '身疼', '面无色', '气血虚', '脐腹急痛', '脚膝疼重', '妊娠', '肚腹痛']"
津液不足,"['自汗', '产后', '大便结燥', '脐腹胀闷', '妊娠', '头痛', '中风', '口干', '痢不止', '血亏', '肢节无力', '烦热', '潮热', '阴虚', '不调']"
足下热,"['阴寒', '遍身壮热', '膨胀腹满', '黄疸', '心腹胀', '额黑', '血瘀', '小腹急疼', '大便色黑', '身体俱黄']"
面色恍白,"['干呕', '遍身壮热', '涩', '妊娠', '饮食不下', '咳嗽', '痢不止', '伤寒', '眩晕', '不止', '喘促', '大小便不通', '盗汗', '腰痛', '阴寒']"
口和,"['舌质淡', '舌苔花白', '妊娠', '饮食不下', '干呕', '精神不守', '无力', '脉沉而迟', '产后', '肚腹痛', '月经不通', '遍身壮热', '头痛', '月经过多', '腹中疼痛']"
口淡,"['饮食不下', '干呕', '妊娠', '多倦', '嗳气', '口苦', '脉滑', '苔白腻', '产后', '肚腹痛', '寒热', '月经过多', '痢不止', '疼痛', '眩晕']"
咽喉单双蛾,"['小儿惊痫', '咽喉闭塞', '痢不止', '伤寒', '疟', '干呕', '头痛', '咳嗽', '中风', '大小便不通', '吐血不止', '霍乱', '头面肿满', '大便后下血', '山岚瘴气']"
形盛多痰,"['咳嗽', '遍身壮热', '带下', '月经不通', '伤寒', '血风劳', '身疼', '喘促', '肢体怠情', '盗汗', '四肢急掣', '胸膈', '吐泻', '感冒', '脉弦数']"
带下色青,"['头目眩晕', '脉弦数', '涕唾稠粘', '饮食不下', '眩晕', '盗汗', '精神不守', '耳内虚鸣', '面色苍黄', '舌质淡', '湿热', '脾胃虚弱', '久不愈', '胁痛', '咽喉肿痛']"
经来色紫,"['血热', '月经后期', '经水涩少', '肚腹痛', '月经不调', '口干', '肌体羸瘦', '血亏', '心腹胀', '腹内痛', '气滞', '烦热', '脉弦数', '经前腹痛', '舌苔花白']"
阴中生疮,"['产后', '淋沥不断', '痛痒', '尿涩诸淋', '状若虫行', '阴蚀几尽']"
漏胞,"['妊娠', '动胎', '月经过多', '腹内', '伤胎', '血下不止']"
胞干,"['胎漏', '难产', '死胎', '妊娠', '涩', '胎衣不下', '产后滞血', '漏血不止', '横逆', '血冲上昏闷', '暴血下']"
胎冷,"['不育', '不止', '心腹胀', '腰痛', '死胎', '小便利数', '脐腹冷痛', '热病', '精冷', '两胁虚鸣', '脚冷', '小肠疼痛']"
常堕,"['妊娠', '不安', '脾胃虚弱', '热甚', '饮食不下', '盗汗', '气血虚弱', '带下不止', '虚热', '成胎']"
多梦,"['寒热', '心神惊悸', '舌质淡', '饮食不下', '月经不调', '头痛', '口干', '带下', '头目眩晕', '血崩', '元气虚惫', '产后百损', '盗汗', '阴寒', '吐血不止']"
粉刺,"['热毒', '产后', '干呕', '中风', '口干', '疼痛', '伤寒', '头目眩晕', '涩', '身疼', '喘促', '口急', '胸中胀满', '小便利数', '疮疥']"
哕逆,"['干呕', '产后', '寒热', '头痛', '伤寒', '恶心', '寒热如疟', '经水忽来忽断', '饮食不下', '肚腹痛', '月经不通', '遍身壮热', '咳嗽', '痢不止', '肌体羸瘦']"
恐怖,"['产后', '夜寐不安', '眩晕', '妊娠', '干呕', '肚腹痛', '月经不调', '寒热', '动胎', '疼痛', '带下', '不育', '盗汗', '四肢烦疼', '心神惊悸']"
冷癖,"['饮食不下', '月经不调', '血块', '瘦弱', '虚胀', '面无色', '腹内', '传尸', '寒热', '月经过多', '大小便不通', '腹中', '霍乱', '自汗', '吐泻']"
力弱,"['饮食不下', '渐渐羸瘦', '多睡', '脉弦虚', '妊娠', '干呕', '肚腹痛', '月经不调', '赤白带下', '带下', '不育', '结生瘕聚', '喘促', '肢节无力', '心腹胀']"
攀睛胬肉,"['羞明', '涩', '赤眼肿痛', '翳膜', '拳毛倒睫', '头痛', '疼痛', '带下', '头目眩晕', '血风劳', '热毒', '上攻', '眼赤', '翻胃', '腹胁']"
漆疮,"['乳痈', '痈疽发背', '热毒', '疮疥', '风湿脚气', '疳', '丹毒', '肿毒', '肌肤赤肿', '大头时肿', '产后', '月经不通', '月经不调', '赤白带下', '中风']"
热闷,"['心神多躁', '妊娠', '饮食不下', '干呕', '动胎', '产后', '眩晕', '多睡', '四肢痠痛', '四肢沉重', '乳肿', '虚躁']"
声哑,"['咳嗽', '咯痰带血', '口干', '喘促', '气逆', '潮热', '七情内伤', '虚热', '虚火', '气怒肺热', '干呕', '阴虚', '诸虚百损', '痰喘', '喘嗽']"
素虚,"['产后', '痢不止', '患疟', '妊娠', '干呕', '肚腹痛', '遍身壮热', '伤寒', '结生瘕聚', '喘促', '烦愦', '疟', '寒邪', '恶心', '霍乱']"
太阳穴痛,"['上攻', '妊娠', '干呕', '遍身壮热', '寒热', '眩晕', '血亏', '大小便不通', '背项强直', '眼昏', '胎气有伤', '乳房发胀', '腮项肿核', '脐下急满', '头痛']"
五色相杂,"['崩中漏下', '面色苍黄', '饮食不下', '寒热', '腹刺痛', '冲任不固', '脐腹冷痛', '遍身壮热', '口干', '月经过多', '不育', '不止', '肢节无力', '肢体怠情', '面色黄青']"
下赤白,"['月经不调', '痢不止', '产后', '饮食不下', '肚腹痛', '头痛', '咳嗽', '疼痛', '带下', '眩晕', '崩中漏下', '结生瘕聚', '心腹胀', '寒邪', '热毒']"
相火,"['阴虚', '遍身壮热', '头痛', '动胎', '不止', '血崩', '渐渐羸瘦', '结生瘕聚', '喘促', '疟', '盗汗', '阴寒', '腹中', '虚劳', '流产']"
血热相搏,"['口干', '肌体羸瘦', '头目眩晕', '盗汗', '四肢烦疼', '多睡', '潮热', '骨蒸潮热', '心热', '气血虚弱', '面色发红', '痰喘', '寒热如疟', '月经不调', '遍身壮热']"
血症,"['产后', '伤寒', '饮食不下', '遍身壮热', '寒热', '中风', '口干', '疼痛', '心腹疼痛', '心腹胀', '热毒', '恶露不下', '痈', '大便结燥', '面无色']"
阴毒,"['产后', '中风', '伤寒', '冷气', '乳痈', '饮食不下', '肚腹痛', '不育', '头目眩晕', '元气虚惫', '渐渐羸瘦', '言语謇涩', '痰饮', '寒邪', '肢体怠情']"
营卫虚弱,"['妊娠', '饮食不下', '头目眩晕', '疟', '寒邪', '产后', '干呕', '遍身壮热', '头痛', '赤白带下', '伤寒', '不育', '血崩', '渐渐羸瘦', '崩中漏下']"
郁怒,"['大便后下血', '血虚发热', '饮食不下', '干呕', '肚腹痛', '月经不通', '月经不调', '遍身壮热', '寒热', '痢不止', '不止', '崩中漏下', '言语謇涩', '血亏', '心腹胀']"
