聚类,数字,数量,id
"['脾气受伤', '痞塞嗳酸']","[1682, 2206]",1,[55954]
"['头面生癞', '脓疥']","[1196, 2287]",1,[56521]
"['流血不止', '贪欢交感']","[830, 2357]",1,[2950]
"['大寒', '多悲']","[897, 1079]",2,"[20330, 71858]"
"['血风劳', '上攻']","[26, 119]",22,"[20089, 20095, 2051, 19802, 20071, 20087, 38432, 26783, 32523, 20117, 6549, 37750, 20082, 3584, 26779, 43415, 53189, 20008, 25231, 53161, 20118, 37664]"
"['不调', '冷热']","[153, 306]",13,"[19898, 29591, 55923, 17154, 17180, 19781, 60570, 19759, 68714, 16298, 19775, 75047, 51224]"
"['无津以润', '血流如经水']","[1461, 1538]",2,"[2819, 2835]"
"['肾虚', '虚火']","[237, 315]",5,"[5130, 11360, 19497, 79378, 20057]"
"['虚惊', '心气不安']","[1471, 1644]",1,[51345]
"['腹胀胎腐', '腰重不能屈伸']","[1742, 1755]",1,[4234]
"['咳噫', '心胸气滞']","[1436, 1588]",1,[38572]
"['食滞', '气块']","[366, 373]",5,"[60670, 73744, 19859, 33937, 68714]"
"['产后', '肚腹痛']","[0, 4]",140,"[32163, 69101, 19236, 5450, 31613, 62354, 80570, 17824, 31463, 71899, 4336, 56247, 20490, 63672, 26992, 26923, 72342, 23742, 29647, 29657, 30396, 30401, 51298, 11249, 20411, 27082, 32868, 65152, 69802, 69905, 72570, 5454, 14829, 58693, 59723, 69864, 10969, 11247, 11266, 11460, 12767, 12914, 23092, 27083, 29658, 30166, 30315, 33219, 34218, 57490, 59714, 67740, 69822, 71880, 4150, 10181, 11259, 11447, 17719, 27087, 29594, 29615, 29616, 29624, 29660, 29683, 50989, 55953, 58707, 80567, 80936, 4032, 14824, 17726, 19781, 26966, 29617, 38611, 51424, 56075, 69797, 72576, 11267, 19523, 30411, 34171, 35263, 50982, 51430, 51445, 55833, 56108, 62684, 9237, 10172, 15085, 19994, 20409, 27062, 27076, 27081, 27085, 27088, 29661, 51416, 55526, 56204, 58713, 67833, 69818, 69837, 71257, 77343, 22312, 46449, 51072, 51302, 66991, 69491, 80947, 10322, 11465, 18918, 27075, 33195, 55552, 82666, 162, 8747, 10177, 10665, 11463, 28791, 29598, 31358, 51493, 61766, 80555, 11491, 18544]"
"['经水将行', '气滞血实']","[1278, 2125]",1,[59737]
"['小便利数', '耳内虚鸣']","[86, 116]",19,"[69001, 64551, 7570, 18027, 20176, 68983, 1616, 82413, 1590, 19390, 20057, 20044, 63690, 36874, 66372, 66397, 20043, 80856, 32462]"
"['饮食不下', '月经不调']","[2, 6]",101,"[1953, 83828, 13938, 31886, 19706, 15808, 65155, 19711, 25841, 38493, 30191, 53753, 54991, 30145, 83248, 1268, 80570, 16566, 12912, 28775, 35304, 3369, 12601, 19714, 11503, 20490, 21117, 38403, 38748, 53152, 58854, 19720, 25817, 30143, 54998, 19708, 38709, 55462, 1616, 15621, 16570, 19380, 53513, 55030, 65153, 70132, 32025, 53778, 70131, 11609, 19722, 19725, 25883, 38414, 38837, 53505, 57514, 65152, 79357, 5257, 20327, 22992, 23192, 25842, 53687, 53745, 55292, 56462, 62702, 65133, 78391, 82967, 1703, 4156, 19869, 22614, 30166, 32402, 53759, 60544, 25827, 38827, 1800, 11479, 19710, 20047, 31246, 72983, 80581, 3513, 19709, 19857, 36893, 59281, 65127, 26662, 63823, 4132, 80555, 12769, 23936]"
"['血风劳', '四肢急掣']","[26, 59]",23,"[67880, 38447, 38479, 38484, 37723, 38511, 53175, 28589, 37742, 53149, 13410, 39359, 3512, 20087, 32523, 53118, 20082, 20008, 20118, 53180, 3468, 11613, 55788]"
"['痈', '疖']","[73, 245]",19,"[56207, 66744, 55797, 13999, 20896, 57790, 68706, 29426, 31723, 67296, 18437, 63654, 19663, 80724, 19661, 28101, 29078, 65734, 81392]"
"['子痫', '倒错不识人']","[394, 397]",4,"[23121, 58662, 76091, 80877]"
"['畏风', '脑痛如破']","[1924, 2285]",1,[55960]
"['噎塞', '噫气']","[460, 587]",5,"[19837, 19846, 19895, 19833, 19844]"
"['干呕', '妊娠呕恶冲逆']","[3, 61]",67,"[4314, 32483, 29248, 77300, 19898, 32846, 39259, 64976, 14790, 17143, 23024, 31120, 53564, 64995, 66486, 18642, 19718, 22908, 23208, 53557, 53604, 56099, 6334, 7169, 16293, 39305, 56028, 12966, 17624, 17913, 23128, 53573, 53609, 80913, 11560, 15630, 18632, 39272, 39274, 53563, 53610, 56195, 76158, 7096, 10167, 11562, 15090, 29433, 53566, 53568, 53570, 53572, 80951, 11559, 19524, 19994, 23211, 53558, 61058, 66910, 11556, 11557, 72983, 10242, 32853, 10811, 50879]"
"['阴中生疮', '阴蚀几尽']","[975, 2385]",1,[7112]
"['女子血衰', '大风血癞']","[1412, 2021]",1,[77091]
"['遍身壮热', '阴寒']","[7, 57]",70,"[62354, 5816, 55812, 20490, 31955, 55031, 71759, 77661, 4249, 56247, 66728, 4018, 12329, 55009, 11366, 18647, 71260, 14809, 17904, 55014, 62735, 77890, 82481, 5257, 11439, 82098, 12027, 32243, 32402, 843, 3176, 3899, 13559, 19474, 33224, 39140, 56064, 2854, 3584, 11235, 20113, 24988, 55950, 55957, 72993, 77164, 80936, 81975, 11021, 12742, 12980, 53361, 77275, 14776, 15080, 59689, 80862, 82042, 11385, 63271, 69856, 9289, 18990, 43268, 62727, 63077, 80944, 18957, 72572, 18953]"
"['腹多病', '气食生冷']","[1741, 2139]",1,[29243]
"['命门不禁', '命门失守']","[1999, 2000]",1,[11909]
"['恶疮癣', '野鸡痔']","[2054, 2372]",1,[37123]
"['饱胀', '嗳气']","[439, 517]",4,"[62354, 59420, 31307, 59436]"
"['发脑', '发鬓']","[1258, 1259]",2,"[23765, 52168]"
"['气食生冷', '经准不孕']","[2139, 2261]",1,[29243]
"['血脉不荣', '腹多病']","[1188, 1741]",1,[29243]
"['咯痰带血', '气怒肺热']","[208, 472]",8,"[1348, 1209, 31142, 31811, 964, 6573, 1347, 80560]"
"['瘀而为毒', '血衰血阻']","[2214, 2341]",1,[55958]
"['心神恐惧', '歌笑无度']","[1340, 2104]",1,[37722]
"['风入胞中', '寒凝浊瘀']","[1892, 2031]",1,[12751]
"['心神恐惧', '啼泣不止']","[1340, 2004]",1,[37722]
"['中风', '身如角弓反张']","[13, 168]",39,"[37657, 53126, 14491, 76946, 38583, 38635, 39127, 51053, 77333, 17142, 37713, 51105, 5348, 43405, 51095, 60929, 14833, 29625, 37654, 51097, 53146, 38550, 53171, 38615, 16305, 19730, 32590, 51075, 51109, 53166, 67833, 68081, 43415, 51062, 6353, 10665, 26989, 51108, 60866]"
"['口急', '言语不得']","[60, 133]",14,"[29625, 26983, 37721, 11455, 39170, 63690, 39186, 32080, 39198, 59670, 37746, 39208, 62727, 38617]"
"['妊娠咳嗽', '子嗽']","[466, 578]",2,"[4258, 12341]"
"['白带腥臭', '任脉湿热']","[1067, 1373]",2,"[2949, 2971]"
"['身体拘急', '反张']","[374, 563]",4,"[39221, 39215, 39170, 29208]"
"['咳嗽', '伤寒']","[12, 18]",35,"[16569, 5818, 3530, 62303, 62354, 56207, 56247, 28086, 51112, 13410, 23817, 28312, 33939, 51081, 51086, 39207, 51068, 51101, 33223, 33224, 39194, 3584, 7123, 8262, 39171, 77163, 77188, 15115, 38950, 39173, 80567, 10708, 1853, 63700, 10538]"
"['气不足', '筋急']","[426, 667]",3,"[30113, 30595, 20176]"
"['漆疮', '肌肤赤肿']","[987, 1317]",2,"[56358, 57785]"
"['带下', '阴中冷']","[19, 64]",17,"[31722, 54991, 72019, 22969, 55540, 11497, 30145, 31307, 59736, 79357, 53520, 1097, 11362, 64568, 44787, 79829, 26865]"
"['欲结成痈', '肿痛此热']","[2102, 2278]",1,[35290]
"['产后', '寒热']","[0, 8]",109,"[13938, 19706, 30194, 3530, 55933, 25866, 16341, 29631, 14491, 82451, 83283, 16606, 35323, 64986, 11455, 13410, 25817, 34131, 51376, 59896, 64952, 16603, 38927, 22919, 51382, 78919, 23073, 34112, 38543, 51298, 51363, 66225, 11401, 19725, 51342, 11226, 21459, 51330, 51365, 64966, 78931, 5257, 11240, 11327, 12758, 14831, 23032, 33219, 51331, 51340, 51341, 63563, 63811, 69812, 69879, 69898, 17719, 22892, 51101, 51206, 53476, 56109, 71880, 26922, 29667, 51339, 51347, 63826, 4039, 4144, 16305, 19533, 19546, 19730, 22883, 30190, 51066, 51338, 56063, 58681, 62835, 69285, 69853, 23252, 60561, 72983, 76647, 76800, 19994, 29383, 29609, 59281, 67833, 12316, 13409, 16323, 22315, 23217, 25885, 27048, 27070, 32538, 64980, 80947, 29669, 51180, 3901, 63700, 67812]"
"['堕胎', '血结']","[96, 124]",9,"[29692, 29616, 53236, 53218, 53210, 53222, 53230, 53220, 53234]"
"['手足不遂', '风痹']","[272, 465]",9,"[37689, 83244, 37776, 37706, 37727, 37698, 37703, 27132, 37756]"
"['腿胫或肿', '肚上筋脉']","[1768, 2275]",1,[38707]
"['惊悸', '风邪']","[139, 145]",9,"[30023, 29997, 38630, 53201, 53123, 53144, 53155, 37663, 69840]"
"['肚腹痛', '月经不调']","[4, 6]",63,"[1036, 12112, 31585, 31594, 54991, 5450, 83248, 19138, 31463, 80570, 31613, 31951, 55554, 17925, 12565, 20490, 71759, 22723, 55462, 20616, 45201, 62289, 5087, 19380, 31748, 65137, 13935, 62680, 18051, 20411, 33883, 57514, 65152, 79357, 1123, 15145, 17132, 19722, 56462, 78870, 30166, 53802, 56102, 6348, 12602, 53707, 12596, 14538, 26962, 1097, 23010, 62684, 82973, 55526, 56204, 13436, 20040, 20047, 29078, 36893, 55552, 31358, 80555]"
"['漆疮', '大头时肿']","[987, 1499]",2,"[56358, 57785]"
"['中脘宿冷', '嗳闻血腥']","[1352, 1418]",2,"[7169, 32846]"
"['月经不调', '不育']","[6, 20]",71,"[1953, 65134, 31439, 31722, 18039, 54991, 31351, 30145, 13892, 19716, 31343, 55017, 16566, 25866, 28775, 72825, 55513, 59756, 14554, 64992, 31813, 55462, 1981, 5087, 13259, 17660, 26665, 55478, 82933, 1616, 12920, 72310, 80573, 82935, 15145, 19380, 33687, 80551, 1263, 22770, 26668, 29243, 33679, 33865, 33879, 55506, 55750, 59736, 76154, 79357, 1703, 17899, 21067, 38405, 60544, 6348, 63249, 66795, 11973, 72802, 20039, 66811, 72180, 12578, 65127, 69155, 73004, 77895, 20040, 59281, 66540]"
"['阴蚀疮', '臁疮']","[173, 487]",3,"[21925, 78324, 57328]"
"['腰痛下血', '侵损荣卫']","[1050, 1963]",1,[55903]
"['小儿胎寒虚', '躽啼']","[436, 840]",3,"[9438, 51927, 79990]"
"['胎动胎痛', '居处失宜']","[1414, 1435]",2,"[7089, 11567]"
"['水道涩痛', '脚膝痿缓']","[1239, 1371]",2,"[2493, 2520]"
"['生而不寿', '服气不安']","[1522, 2098]",1,[56100]
"['情欲相扰', '病患相感']","[2066, 2194]",1,[55903]
"['盗汗', '自汗']","[54, 84]",28,"[31892, 31886, 5818, 5830, 56090, 20373, 80618, 82451, 20036, 31426, 796, 55936, 8887, 78391, 5257, 80551, 14580, 22614, 32402, 12731, 18863, 29641, 12596, 19710, 14177, 20040, 72721, 66385]"
"['耳内虚鸣', '眼昏']","[116, 140]",13,"[20083, 54998, 55014, 17922, 18027, 20012, 22614, 20044, 20057, 19693, 20039, 55023, 20043]"
"['小便涩', '子淋']","[202, 318]",6,"[53470, 72733, 9591, 9595, 12349, 53389]"
"['血溢', '嗳闻血腥']","[1102, 1418]",2,"[7169, 32846]"
"['心热', '面色发红']","[156, 169]",11,"[20036, 57514, 53711, 56462, 19727, 20037, 27067, 19710, 22996, 44984, 12583]"
"['月经不调', '阴中冷']","[6, 64]",40,"[13863, 1953, 83828, 12112, 82411, 3530, 31439, 31722, 54991, 30145, 55017, 13934, 53258, 22969, 55513, 60176, 31402, 31813, 17660, 21117, 25817, 1616, 1981, 31748, 1864, 80573, 33687, 55506, 56147, 59736, 79357, 80551, 38405, 55756, 1097, 22971, 72802, 1834, 31144, 65130]"
"['赤白带下', '痢不止']","[10, 15]",34,"[56655, 80595, 62303, 21438, 30194, 5450, 31004, 3549, 14491, 72285, 11455, 20005, 20759, 19114, 19883, 19892, 56220, 67673, 46507, 68474, 20939, 68714, 3548, 28114, 64516, 15701, 65127, 36577, 60162, 77093, 411, 27882, 80555, 23936]"
"['淋', '淋证']","[161, 325]",6,"[22941, 56080, 3549, 1848, 29678, 24294]"
"['白带腥臭', '多悲']","[1067, 1079]",2,"[20330, 71858]"
"['头痛', '伤寒']","[9, 18]",97,"[5818, 16569, 62354, 29454, 29465, 4274, 5816, 11455, 13410, 20490, 53377, 56207, 71759, 4330, 56247, 20759, 51112, 23817, 28312, 39226, 38547, 39156, 39189, 51081, 51086, 62288, 72288, 38533, 38613, 39142, 39157, 39168, 39204, 39211, 51101, 53367, 82098, 1682, 12343, 32243, 33224, 38577, 39124, 39207, 44199, 51057, 77338, 3584, 9070, 10164, 19498, 33223, 38584, 39167, 39217, 51067, 53379, 77304, 11597, 19710, 28832, 39125, 39141, 39171, 39224, 39231, 51096, 63276, 77164, 77165, 80567, 12980, 15089, 16739, 20107, 39114, 51055, 53378, 53397, 53401, 77275, 14776, 19684, 39159, 53376, 59689, 39154, 32192, 33434, 36876, 44161, 50816, 55824, 78221, 134, 10538, 82267]"
"['心阳内耗', '命门不禁']","[1652, 1999]",1,[11909]
"['脓血', '里急后重']","[255, 351]",6,"[23600, 76617, 56108, 32243, 19775, 26894]"
"['胎气有伤', '腮项肿核']","[579, 891]",3,"[17144, 55890, 26970]"
"['汗多不止', '牙噤发搐']","[2146, 2182]",1,[55952]
"['产后', '痢不止']","[0, 15]",104,"[20679, 32163, 80431, 22782, 30194, 5140, 16341, 5450, 62354, 67674, 17824, 14491, 11455, 13410, 30143, 23113, 22001, 55939, 67496, 3900, 22915, 23018, 23103, 23182, 51364, 56060, 69149, 5122, 21459, 32868, 33219, 51372, 68098, 76107, 4185, 11246, 12332, 12758, 55940, 69825, 69900, 3827, 12767, 14829, 21114, 63814, 4150, 11269, 11270, 11447, 23050, 32851, 51426, 55836, 55983, 68472, 4383, 14824, 17701, 19781, 22303, 23229, 23252, 30419, 33202, 51359, 51387, 51392, 58741, 66526, 78883, 6424, 13409, 24827, 27071, 29590, 51348, 51349, 51385, 51410, 56108, 56541, 76647, 32538, 51356, 51373, 63675, 51378, 55967, 58699, 10322, 11471, 31358, 45214, 50845, 51446, 57332, 63700, 82632, 15694, 43781, 62031, 80555, 51409]"
"['口烂', '眼赤']","[191, 196]",10,"[4911, 10261, 63895, 26792, 66744, 72113, 19710, 19754, 22676, 55786]"
"['产后伤食', '吞酸嗳腐']","[855, 1995]",1,[3843]
"['痈', '瘰疬']","[73, 232]",13,"[19138, 55797, 66744, 29580, 72285, 68702, 56996, 18437, 22614, 19198, 65790, 16900, 30881]"
"['心火不静', '热传于脾']","[1645, 1679]",1,[12760]
"['妊娠', '口干']","[1, 14]",57,"[4288, 4330, 4264, 39163, 11578, 4311, 39166, 66477, 66488, 17253, 26893, 39196, 39218, 9588, 22884, 38966, 39126, 39129, 39229, 55888, 59669, 66440, 67779, 77338, 82920, 722, 38955, 38959, 39111, 39121, 39178, 2860, 4108, 39160, 39161, 39162, 59692, 62648, 67295, 77169, 80838, 12980, 27044, 39122, 39137, 67757, 10708, 12972, 15072, 19754, 26889, 78032, 80856, 80935, 33409, 39151, 75668]"
"['脾转运滞', '痞塞嗳酸']","[1684, 2206]",1,[55954]
"['阴中冷', '小便浊败']","[64, 108]",17,"[56207, 66744, 72312, 80617, 31402, 11497, 33737, 20044, 19127, 20633, 60263, 65524, 44787, 79829, 26865, 64568, 23852]"
"['壮热', '畏寒']","[97, 242]",9,"[19695, 68167, 28393, 13376, 38579, 39183, 50988, 53401, 51377]"
"['半身不遂', '左瘫右痪']","[129, 200]",15,"[1953, 83828, 6543, 21449, 83242, 28584, 21426, 6535, 13845, 82866, 68698, 32590, 20118, 196, 67918]"
"['带下', '眩晕']","[19, 21]",31,"[31892, 31585, 31722, 38472, 71667, 23191, 16566, 22969, 33884, 39057, 65153, 29193, 20411, 25842, 39056, 31255, 78870, 80563, 30166, 23031, 53500, 36874, 66372, 66397, 82653, 70721, 20024, 67364, 70218, 72723, 76280]"
"['心摇', '奇脉亏损']","[1643, 1773]",1,[67459]
"['遍身壮热', '口干']","[7, 14]",64,"[20551, 20569, 20373, 80618, 54996, 12590, 60547, 83697, 4018, 12329, 18912, 13935, 17904, 4455, 18647, 19727, 31269, 54992, 55014, 57514, 83282, 5257, 26893, 39129, 39196, 55292, 56462, 59669, 9588, 20010, 22614, 22668, 22924, 16701, 19498, 22884, 39111, 62148, 77338, 80838, 11021, 19710, 19754, 33171, 33223, 54477, 59722, 62648, 77169, 12980, 25874, 59700, 61553, 80857, 15080, 78032, 15072, 19721, 23054, 32192, 63271, 16320, 60942, 61766]"
"['身疼', '四肢急掣']","[32, 59]",21,"[54911, 5450, 30194, 28594, 37689, 83244, 53175, 1978, 20087, 32523, 62104, 75460, 4365, 12721, 20082, 37742, 53118, 20118, 3468, 11613, 55788]"
"['凑心', '狂言']","[244, 246]",6,"[12743, 2848, 10402, 72567, 2844, 16320]"
"['胎欲落', '斑出黑色']","[1906, 2082]",1,[39149]
"['难产', '死胎']","[24, 81]",28,"[13938, 22782, 55797, 69101, 4147, 3549, 7082, 52168, 3355, 12912, 14554, 12306, 53336, 55809, 53310, 53338, 55833, 60838, 62135, 9060, 27015, 1445, 7087, 10447, 53318, 3937, 10170, 27016]"
"['眩晕', '头目眩晕']","[21, 23]",45,"[20095, 23902, 33884, 71667, 4237, 55030, 1967, 16576, 19718, 78898, 78900, 12310, 20087, 20411, 78870, 3994, 5257, 20117, 31269, 39201, 22614, 22980, 31255, 32402, 55890, 20082, 53121, 53500, 80888, 32590, 62640, 80891, 80908, 22837, 80919, 19790, 29990, 50977, 80842, 20118, 11360, 134, 10538, 60840, 66397]"
"['白带腥臭', '带下黄色']","[1067, 1068]",2,"[2949, 2971]"
"['咳血', '咯血']","[323, 332]",5,"[31914, 32252, 55936, 31804, 31822]"
"['产门', '不闭']","[432, 613]",4,"[3615, 11381, 78392, 76173]"
"['弦急', '不能久立']","[1005, 1218]",2,"[30133, 30311]"
"['伤胎', '闪肭']","[305, 583]",3,"[32737, 32738, 32192]"
"['子悬', '胎气不和']","[611, 727]",4,"[66484, 66485, 66495, 66506]"
"['不乳出', '血衰']","[130, 533]",3,"[8880, 32646, 19729]"
"['手足壮热', '额黑']","[889, 1080]",2,"[20261, 77661]"
"['不能久立', '苦绞痛']","[1218, 1438]",2,"[30133, 30311]"
"['过敏性皮炎', '皮炎']","[1548, 2412]",1,[78351]
"['不育', '阴中冷']","[20, 64]",39,"[1953, 20023, 31439, 31722, 54991, 11388, 30145, 55017, 55513, 46118, 17660, 31813, 69002, 1981, 1616, 69025, 80573, 31307, 33687, 55506, 59736, 63248, 71776, 79357, 80551, 9240, 9348, 20042, 69738, 69740, 38405, 990, 72802, 11362, 65524, 64568, 26865, 44787, 69485]"
"['冲脉少藏', '气食生冷']","[1375, 2139]",1,[29243]
"['眩晕', '眼目昏花']","[21, 197]",33,"[1953, 23191, 33681, 55000, 19716, 22969, 55986, 78865, 23045, 82944, 55030, 12329, 23058, 4018, 13927, 78870, 23037, 66755, 77371, 17177, 32025, 55501, 50977, 12753, 36577, 36874, 68090, 80581, 23202, 31246, 22842, 66372, 4015]"
"['翻胃', '气膈']","[254, 336]",7,"[80357, 19837, 80361, 19865, 19866, 63675, 65271]"
"['妊娠', '遍身壮热']","[1, 7]",44,"[4249, 55913, 22824, 78896, 26893, 39196, 17623, 17641, 33224, 39129, 44199, 59669, 67776, 77338, 22884, 22894, 39111, 39140, 82098, 9588, 62648, 77157, 77164, 77165, 77169, 80838, 12980, 19754, 33155, 39217, 53361, 14776, 19684, 59689, 78032, 82042, 11385, 15072, 59668, 4254, 55824, 78221, 58645, 1691]"
"['壅热', '渴逆']","[661, 1520]",2,"[11578, 39166]"
"['腹大如妊', '面色乍赤乍白']","[1365, 1387]",2,"[11213, 11287]"
"['紫红色结节性皮疹', '面部色素沉着']","[1563, 1826]",1,[80649]
"['衄血', '咯血']","[227, 332]",8,"[1041, 31914, 19498, 1347, 19645, 31822, 64537, 32252]"
"['产门', '流血不止']","[432, 830]",3,"[10245, 11856, 62045]"
"['涩', '热毒']","[28, 55]",19,"[2051, 19802, 25204, 63690, 63715, 19811, 52366, 63235, 81975, 28697, 20018, 25231, 24609, 3414, 33233, 3401, 9932, 1573, 56433]"
"['雀斑', '面上细疮']","[1295, 1823]",1,[27652]
"['舌肿', '重舌']","[609, 722]",6,"[13999, 4317, 74391, 33874, 33875, 66117]"
"['渐渐羸瘦', '肢体怠情']","[33, 51]",18,"[25841, 82411, 18039, 30145, 60217, 19846, 20026, 20053, 13419, 19708, 20042, 14969, 26978, 19895, 19709, 19759, 20057, 10498]"
"['头目眩晕', '身疼']","[23, 32]",32,"[30194, 82940, 13926, 23076, 28594, 3355, 31955, 65339, 24975, 19714, 19704, 57749, 63690, 32523, 53145, 3507, 20087, 53173, 25817, 27121, 33224, 20082, 3497, 32590, 63625, 72279, 72978, 20076, 53176, 3319, 20118, 55788]"
"['霍乱', '吐泻']","[72, 114]",56,"[32163, 5450, 62354, 67880, 82613, 3549, 20023, 56247, 66744, 4312, 4413, 67679, 3358, 16448, 19680, 28312, 32443, 65276, 79744, 7063, 19866, 32868, 53670, 20042, 31328, 39202, 55921, 60819, 12747, 38573, 55923, 59714, 67740, 28538, 44550, 56039, 56065, 11309, 38535, 39228, 62315, 68472, 72993, 11580, 15616, 29078, 49010, 75047, 19451, 54457, 9845, 32232, 39172, 39234, 154, 23605]"
"['肌体羸瘦', '元气虚惫']","[22, 31]",25,"[38490, 38524, 38417, 70665, 69230, 19731, 32771, 38409, 38403, 68624, 14985, 69001, 79413, 19720, 4335, 13933, 64966, 82866, 68127, 11479, 75668, 25878, 20043, 72721, 65129]"
"['白带腥臭', '浊淫']","[1067, 1926]",1,[71858]
"['妊娠呕恶冲逆', '心中愦闷']","[61, 507]",9,"[29248, 4314, 53557, 16293, 19718, 39305, 53604, 53610, 53572]"
"['毒结肠胃', '血气未充']","[1663, 2333]",1,[4358]
"['中风', '言语謇涩']","[13, 36]",64,"[1953, 37777, 20023, 39020, 39177, 39221, 65328, 37657, 37701, 53131, 56123, 38569, 37717, 38540, 38553, 38635, 11222, 37724, 39197, 39220, 29208, 37737, 38582, 38608, 39110, 39127, 39130, 39136, 39145, 77333, 37713, 38594, 5348, 39187, 39223, 62289, 79744, 8957, 37686, 37688, 38634, 38643, 53167, 20042, 20087, 37636, 44591, 51481, 51522, 78947, 26985, 56061, 32590, 51088, 51093, 53166, 72279, 29623, 39148, 51513, 39185, 63647, 51492, 10538]"
"['急性湿疹', '皮炎']","[1019, 2412]",1,[78351]
"['苔白腻', '口淡']","[687, 970]",2,"[80948, 80951]"
"['赤白带下', '血崩']","[10, 27]",37,"[56655, 1953, 16569, 22488, 14120, 3530, 5450, 21438, 25866, 33760, 26745, 80570, 14491, 7106, 11455, 25817, 28086, 39027, 19725, 69395, 24763, 19438, 16494, 64516, 68714, 22726, 24818, 55833, 14496, 26643, 54346, 9353, 26725, 26733, 28018, 63275, 23852]"
"['不乳出', '脉涩不行']","[130, 1187]",3,"[8880, 32646, 19729]"
"['疮疥', '疖']","[89, 245]",12,"[57790, 66744, 29426, 68706, 13999, 32197, 33939, 52185, 80796, 873, 276, 63829]"
"['情欲相扰', '精血攻冲']","[2066, 2251]",1,[55903]
"['营卫不调', '瘀而为毒']","[1532, 2214]",1,[55958]
"['喘促', '四肢肿']","[37, 136]",16,"[37747, 11327, 37748, 37788, 55933, 13410, 38941, 2851, 37690, 37670, 39254, 51440, 50856, 54776, 81450, 50826]"
"['痈', '疳']","[73, 154]",11,"[66744, 5450, 72285, 68706, 56996, 65659, 13622, 29078, 2919, 31663, 68822]"
"['产门', '肿硬']","[432, 747]",3,"[10245, 11856, 62045]"
"['血溢', '冷血侵脾']","[1102, 1354]",2,"[7169, 32846]"
"['乳痈', '肿痛']","[125, 190]",10,"[18407, 51209, 27195, 33223, 51211, 32348, 19646, 28833, 50381, 64975]"
"['脓血淋漓成片', '飞红无靥']","[2288, 2397]",1,[8754]
"['腹大如妊', '六脉乍大乍小']","[1365, 1374]",2,"[11213, 11287]"
"['六脉乍大乍小', '面色乍赤乍白']","[1374, 1387]",2,"[11213, 11287]"
"['痛痒不休', '脓血淋漓成片']","[2203, 2288]",1,[8754]
"['头面生癞', '痒痛不安']","[1196, 1476]",2,"[819, 823]"
"['胁痛潮热', '肝燥碍肺']","[1598, 1607]",1,[9311]
"['渐渐羸瘦', '面色黄青']","[33, 52]",20,"[19711, 35303, 39033, 11455, 19846, 44986, 38421, 19708, 34132, 39261, 63625, 6359, 19895, 39396, 53196, 53526, 29684, 19709, 32192, 19918]"
"['月经不调', '带下']","[6, 19]",55,"[13938, 31585, 65134, 19711, 31351, 31722, 66436, 54991, 1025, 31343, 1103, 30145, 53200, 16566, 23191, 66569, 80572, 1215, 22969, 60793, 19330, 13933, 19138, 23062, 39057, 65153, 71759, 13935, 20411, 12567, 15149, 18051, 59736, 79357, 25842, 65149, 78870, 1703, 10841, 15132, 30166, 60544, 64956, 12602, 71788, 1097, 64950, 56204, 26661, 70218, 30989, 67364, 72723, 76280, 29147]"
"['腿漆浮肿', '脚面足趾水出']","[1766, 1801]",1,[55909]
"['肿痛', '疖']","[190, 245]",7,"[31723, 56207, 13999, 57835, 18437, 27195, 32348]"
"['胎动胎痛', '偶然顿仆']","[1414, 1446]",2,"[7089, 11567]"
"['唇紧', '湿癣白秃']","[1840, 2171]",1,[56673]
"['大风血癞', '阴痛余沥']","[2021, 2383]",1,[77091]
"['心神恐惧', '悲思愁忧']","[1340, 2062]",1,[37719]
"['阴门瘙痒', '内外生疮']","[1072, 1496]",2,"[57659, 57669]"
"['乳上湿疮', '脓血淋漓成片']","[1320, 2288]",1,[8754]
"['眩晕', '耳内虚鸣']","[21, 116]",36,"[31892, 20083, 71667, 65350, 54998, 64955, 12329, 55030, 80551, 80563, 20087, 31255, 55014, 18019, 17922, 20082, 22614, 80962, 62640, 80945, 81478, 1294, 29990, 80842, 80910, 19790, 20118, 36874, 82015, 38965, 66372, 66397, 20024, 78221, 4015, 11157]"
"['哺食减少', '气息不快']","[2001, 2119]",1,[34319]
"['妊娠', '月经过多']","[1, 17]",72,"[4270, 26913, 4283, 39012, 7086, 19718, 39009, 78898, 78900, 39297, 55895, 16562, 26904, 53622, 53678, 4163, 32734, 39256, 39283, 53626, 4105, 18923, 39294, 53593, 53620, 53658, 53668, 76155, 80844, 80946, 1800, 39246, 53636, 55336, 58665, 80889, 31733, 38971, 39270, 39288, 39298, 39319, 53677, 55879, 8885, 9592, 11583, 19326, 39005, 39015, 39300, 53649, 21178, 24651, 29212, 53660, 68379, 80919, 4302, 16282, 17625, 53579, 53666, 66999, 76151, 27117, 60566, 62733, 70233, 76198, 26974, 58648]"
"['赤白带下', '小便浊败']","[10, 108]",35,"[56655, 62303, 56207, 66744, 72312, 80617, 83766, 20908, 31402, 22723, 20616, 72310, 19708, 56220, 11430, 33879, 22626, 33737, 63807, 11057, 20939, 54792, 65524, 78965, 19127, 20633, 24818, 49999, 1480, 14496, 21156, 19709, 20554, 20793, 23852]"
"['色红', '无块']","[702, 779]",2,"[80841, 80932]"
